#,Image,Name,Description,Common Locations,Recoverable Materials
084,https://www.zeldadungeon.net/wiki/images/thumb/9/9c/Hyrule-Compendium-Chuchu.png/72px-Hyrule-Compendium-Chuchu.png,Chuchu,"This low-level, gel-based monster can be found all over Hyrule. It tends to spring its attacks on unsuspecting prey from the ground or from trees. Its strength varies by size, and the type of jelly it drops varies depending on whether the Chuchu was heated up, cooled down, or shocked.","Hyrule Field,West Necluda",Chuchu Jelly
085,https://www.zeldadungeon.net/wiki/images/thumb/9/9d/Hyrule-Compendium-Fire-Chuchu.png/72px-Hyrule-Compendium-Fire-Chuchu.png,Fire Chuchu,"This low-level gel monster is engulfed in flames. Its strength varies depending on its size. It tends to explode if attacked from close range, so the use of spears, arrows, and other ranged weapons is advised.","Eldin Canyon,Eldin Mountains",Red Chuchu Jelly
086,https://www.zeldadungeon.net/wiki/images/thumb/4/46/Hyrule-Compendium-Ice-Chuchu.png/72px-Hyrule-Compendium-Ice-Chuchu.png,Ice Chuchu,"This low-level gel monster is engulfed in freezing-cold air. Its strength varies depending on its size. It tends to explode if attacked from close range, so the use of spears, arrows, and other ranged weapons is advised.","Gerudo Highlands,Hebra Mountains",White Chuchu Jelly
087,https://www.zeldadungeon.net/wiki/images/thumb/b/bb/Hyrule-Compendium-Electric-Chuchu.png/72px-Hyrule-Compendium-Electric-Chuchu.png,Electric Chuchu,"This low-level gel monster is engulfed in electricity. Its strength varies depending on its size. It tends to explode if attacked from close range, so the use of spears, arrows, and other ranged weapons is advised.","Gerudo Highlands,East Necluda",Yellow Chuchu Jelly
088,https://www.zeldadungeon.net/wiki/images/thumb/8/8f/Hyrule-Compendium-Keese.png/72px-Hyrule-Compendium-Keese.png,Keese,"The unpredictable flight pattern of this nocturnal bat-like species can make fighting them a nuisance, but they're weak enough to fell with a single strike. Sometimes they'll attack in packs, but even then, a pack can be sent packing with a single attack.","Hyrule Field,East Necluda","Keese Wing,Keese Eyeball"
089,https://www.zeldadungeon.net/wiki/images/thumb/0/00/Hyrule-Compendium-Fire-Keese.png/72px-Hyrule-Compendium-Fire-Keese.png,Fire Keese,The fire that engulfs the bodies of these bat-like Keese makes them more dangerous than the standard type. They're capable of setting fire to anything they touch.,"Eldin Canyon,Eldin Mountains","Fire Keese Wing,Keese Eyeball"
090,https://www.zeldadungeon.net/wiki/images/thumb/8/8f/Hyrule-Compendium-Ice-Keese.png/72px-Hyrule-Compendium-Ice-Keese.png,Ice Keese,The intense frost that engulfs the bodies of these bat-like Keese makes them more dangerous than the standard type. They're capable of freezing anything they touch.,"Hebra Mountains,Gerudo Highlands","Ice Keese Wing,Keese Eyeball"
091,https://www.zeldadungeon.net/wiki/images/thumb/5/50/Hyrule-Compendium-Electric-Keese.png/72px-Hyrule-Compendium-Electric-Keese.png,Electric Keese,The electricity that engulfs the bodies of these bat-like Keese makes them more dangerous than the standard type. They're capable of shocking anything they touch.,"Lanayru Great Spring,East Necluda","Electric Keese Wing,Keese Eyeball"
092,https://www.zeldadungeon.net/wiki/images/thumb/e/ec/Water-octorok.jpg/72px-Water-octorok.jpg,Water Octorok,"Although they spend most of their time in water, the drop in barometric pressure that occurs when it rains causes an air sac within these octopus-like monsters to inflate and lift them into the air. The rocks they spit out can be bounced back with a shield.","West Necluda,Hyrule Field","Octorok Tentacle,Octo Balloon,Octorok Eyeball"
093,https://www.zeldadungeon.net/wiki/images/thumb/f/f9/Forest-octorok.jpg/72px-Forest-octorok.jpg,Forest Octorok,"Although originally an aquatic species, this type has adapted to life in the forest. They hide among the trees, disguising themselves as grass or unassuming shrubbery, and then attack when someone wanders by.","Hyrule Ridge,Deep Akkala","Octorok Tentacle,Octo Balloon,Octorok Eyeball"
094,https://www.zeldadungeon.net/wiki/images/thumb/5/5d/Rock-octorok.jpg/72px-Rock-octorok.jpg,Rock Octorok,"This octopus-like species of monster lives in volcanic regions. When they inhale, they're preparing to spit out flaming rocks but have been known to suck up weapons or bombs in the same breath.","Eldin Canyon,Gerudo Highlands","Octorok Tentacle,Octo Balloon,Octorok Eyeball"
095,https://www.zeldadungeon.net/wiki/images/thumb/b/bf/Snow-octorok.jpg/72px-Snow-octorok.jpg,Snow Octorok,"These octopus-like monsters live in snowy fields and disguise themselves as grass. When someone wanders by, they spring into action and attack by spitting snowballs.","Gerudo Highlands,Tabantha Frontier","Octorok Tentacle,Octo Balloon,Octorok Eyeball"
096,https://www.zeldadungeon.net/wiki/images/thumb/e/ee/Treasure-octorok.jpg/72px-Treasure-octorok.jpg,Treasure Octorok,"These particularly clever monsters bury themselves in deep sand or snow and disguise themselves as treasure chests. Anyone who approaches the chests is attacked. The treasures chests are not magnetic, which proves that they are actually a part of these monsters' bodies.","Gerudo Highlands,Gerudo Desert","Octorok Tentacle,Octo Balloon,Octorok Eyeball, GreenRupee, BlueRupee, RedRupee, PurpleRupee, SilverRupee"
097,https://www.zeldadungeon.net/wiki/images/thumb/5/51/Fire-wizzrobe.jpg/72px-Fire-wizzrobe.jpg,Fire Wizzrobe,These spell-casting monsters can be found all over Hyrule. They use their fire rods to hurl fireballs or to summon flaming monsters and have been known to severely raise the temperature around them. The weather will normalize once the Wizzrobe is defeated.,"Hyrule Field,Great Hyrule Forest",None
098,https://www.zeldadungeon.net/wiki/images/thumb/b/b5/Ice-wizzrobe.jpg/72px-Ice-wizzrobe.jpg,Ice Wizzrobe,These spell-casting monsters can be found all over Hyrule. They use their ice rods to create freezing blasts of air or to summon frozen monsters and have been known to cause blizzards to severely decrease the temperatures around them. The weather will normalize once the Wizzrobe is defeated.,"Gerudo Highlands,Hyrule Field",None
099,https://www.zeldadungeon.net/wiki/images/thumb/2/29/Electric-wizzrobe.jpg/72px-Electric-wizzrobe.jpg,Electric Wizzrobe,These spell-casting monsters can be found all over Hyrule. They use their lightning rods to hurl balls of electricity or to summon monsters surging with electricity and have been known to cause thunderstorms in the area. The weather will normalize once the Wizzrobe has been defeated.,"Hyrule Ridge,West Necluda",None
100,https://www.zeldadungeon.net/wiki/images/thumb/3/39/Meteo-wizzrobe.jpg/72px-Meteo-wizzrobe.jpg,Meteo Wizzrobe,These spell-casting monsters can be found all over Hyrule. They use their meteor rods to hurl fireballs or to summon flaming monsters and have been known to severely raise the temperature around them. The weather will normalize once the Wizzrobe is defeated.,"Hyrule Field,Eldin Canyon",None
101,https://www.zeldadungeon.net/wiki/images/thumb/3/30/Blizzrobe.jpg/72px-Blizzrobe.jpg,Blizzrobe,These spell-casting monsters can be found all over Hyrule. They use their blizzard rods to create freezing blasts of air or to summon frozen monsters and have been known to cause blizzards to severely decrease the temperature around them. The weather will normalize once the Blizzrobe is defeated.,"Hyrule Field,Hebra Mountains",None
102,https://www.zeldadungeon.net/wiki/images/thumb/7/73/Thunder-wizzrobe.jpg/72px-Thunder-wizzrobe.jpg,Thunder Wizzrobe,These spell-casting monsters can be found all over Hyrule. They use their thunderstorm rods to hurl balls of electricity or to summon monsters surging with electricity and have been known to cause thunderstorms in the area. The weather will normalize once the Wizzrobe is defeated.,"Hyrule Field,Tabantha Frontier",None
103,https://www.zeldadungeon.net/wiki/images/thumb/a/a2/Hyrule-Compendium-Bokoblin.png/72px-Hyrule-Compendium-Bokoblin.png,Bokoblin,"This common species is a nuisance all over Hyrule. Some have unified in the time following theGreat Calamityand have formed factions of bandits. While not very clever, they are at least intelligent enough to hunt beasts and grill their meat for food. Though they're typically ferocious carnivores, they actually enjoy fruit as well.","Hyrule Field,West Necluda","Bokoblin Horn,Bokoblin Fang"
104,https://www.zeldadungeon.net/wiki/images/thumb/c/c9/Hyrule-Compendium-Blue-Bokoblin.png/72px-Hyrule-Compendium-Blue-Bokoblin.png,Blue Bokoblin,"This common species is a nuisance all over Hyrule. They're tougher and have stronger weapons than the red Bokoblins - and are a little more clever, as well. At the very least, they have figured out that they can simply kick a Remote Bomb out of the way to avoid its blast.","Gerudo Desert,Gerudo Highlands","Bokoblin Horn,Bokoblin Fang,Bokoblin Guts"
105,https://www.zeldadungeon.net/wiki/images/thumb/9/95/Hyrule-Compendium-Black-Bokoblin.png/72px-Hyrule-Compendium-Black-Bokoblin.png,Black Bokoblin,"Although Bokoblins are generally a nuisance, the Black Bokoblins are among the most dangerous type. They're extremely resilient, and many are armed with more advanced weapons.","Hyrule Field,Gerudo Highlands","Bokoblin Horn,Bokoblin Fang,Bokoblin Guts"
106,https://www.zeldadungeon.net/wiki/images/thumb/e/ea/Hyrule-Compendium-Stalkoblin.png/72px-Hyrule-Compendium-Stalkoblin.png,Stalkoblin,"The remains of Bokoblins appear in the dark of the night. While they're fragile enough to crumble from a single blow, as long as a skull remains intact, they'll continue to pull themselves back together and go on fighting. Sometimes the body will pick up the wrong skull, but this doesn't seem to be a problem...","Hyrule Field,Great Hyrule Forest","Bokoblin Horn,Bokoblin Fang"
107,https://www.zeldadungeon.net/wiki/images/thumb/4/4e/Hyrule-Compendium-Silver-Bokoblin.png/72px-Hyrule-Compendium-Silver-Bokoblin.png,Silver Bokoblin,"You would be foolish to call these Silver Bokoblins a mere nuisance. They have been influenced by Ganon's fiendish magic, so they are stronger than even the Black Bokoblins. They're called ""silver"" not only because of their coloring but also to denote their rarity. The purple markings help them to stand out even more.",Unknown,"Bokoblin Horn,Bokoblin Fang,Bokoblin Guts,Amber,Opal,Topaz,Ruby,Sapphire,Diamond"
108,https://www.zeldadungeon.net/wiki/images/thumb/f/fe/Hyrule-Compendium-Moblin.png/72px-Hyrule-Compendium-Moblin.png,Moblin,"This heavyweight species of monster can be found all over Hyrule. They're physically very strong, their legs along strong enough to resist the force of a bomb blast. They're much more dangerous than the Bokoblins. In fact, Moblins have been known to pick up Bokoblins and throw them as makeshift projectile weapons.","Hyrule Field,East Necluda","Moblin Horn,Moblin Fang"
109,https://www.zeldadungeon.net/wiki/images/thumb/6/68/Hyrule-Compendium-Blue-Moblin.png/72px-Hyrule-Compendium-Blue-Moblin.png,Blue Moblin,These heavyweight monsters can be found all over Hyrule. They're much tougher than their standard counterparts and often have much stronger weapons equipped.,"Hyrule Field,Deep Akkala","Moblin Horn,Moblin Fang,Moblin Guts"
110,https://www.zeldadungeon.net/wiki/images/thumb/0/0c/Hyrule-Compendium-Black-Moblin.png/72px-Hyrule-Compendium-Black-Moblin.png,Black Moblin,These heavyweight monsters can be found all over Hyrule and are among the most dangerous types of Moblin. They're extremely resilient and are often armed with some of the strongest weapons Moblins can carry.,"Hyrule Field,Eldin Canyon","Moblin Horn,Moblin Fang,Moblin Guts"
111,https://www.zeldadungeon.net/wiki/images/thumb/a/a5/Hyrule-Compendium-Stalmoblin.png/72px-Hyrule-Compendium-Stalmoblin.png,Stalmoblin,"The remains of Moblins appear in the dark of the night. Even the toughest Moblins become fragile when they're little more than a pile of bones, so they'll crumble after just a few attacks. However, as long as a skull remains intact, they'll continue to pull themselves back together and go on fighting.","Great Hyrule Forest,Gerudo Highlands","Moblin Horn,Moblin Fang"
112,https://www.zeldadungeon.net/wiki/images/thumb/8/89/Hyrule-Compendium-Silver-Moblin.png/72px-Hyrule-Compendium-Silver-Moblin.png,Silver Moblin,"The strongest of all Moblins, Ganon's fiendish magic has allowed them to surpass even the Black Moblins in strength and resilience. They're called ""silver"" for both their body color as well as their rarity. The purple patterns on their bodies also help them to stand out.",Unknown,"Moblin Horn,Moblin Fang,Moblin Guts,Amber,Opal,Topaz,Ruby,Sapphire,Diamond"
113,https://www.zeldadungeon.net/wiki/images/thumb/5/58/Hyrule-Compendium-Lizalfos.png/72px-Hyrule-Compendium-Lizalfos.png,Lizalfos,"These quick-witted, lizard-like monsters can be found all over Hyrule. They're a sly species that lurks underwater or uses camouflage to blend in with the environment to launch ambushes. Moreover, they never sleep. They're meat eaters by nature but will enjoy the occasional insect or two.","Lanayru Great Spring,Gerudo Desert","Lizalfos Horn,Lizalfos Talon"
