#,Image,Name,Description,Common Locations,Hearts Recovered,Cooking Effects
048,https://www.zeldadungeon.net/wiki/images/thumb/0/04/Hyrule-Compendium-Hyrule-Bass.png/72px-Hyrule-Compendium-Hyrule-Bass.png,Hyrule Bass,"An ordinary fish that can be found all over Hyrule. It can be eaten raw, but cooking it amplifies its healing benefits.","Hyrule Field,West Necluda",1 heart,None
049,https://www.zeldadungeon.net/wiki/images/thumb/f/fb/Hyrule-Compendium-Hearty-Bass.png/72px-Hyrule-Compendium-Hearty-Bass.png,Hearty Bass,"This large fish lives near the shoreline. Its sizable body can store a lot of nutrients. When cooked into a dish, it will temporarily increase your maximum hearts.","West Necluda,Akkala Highlands",2 hearts,Extra Hearts
050,https://www.zeldadungeon.net/wiki/images/thumb/3/3d/Hyrule-Compendium-Staminoka-Bass.png/72px-Hyrule-Compendium-Staminoka-Bass.png,Staminoka Bass,This Hyrule bass got to be the biggest fish by never getting caught (until now). Its long life results in a cooked dish that will restore a lot of stamina.,"Hyrule Field,West Necluda",1 heart,Stamina Recovery
051,https://www.zeldadungeon.net/wiki/images/thumb/5/52/Hyrule-Compendium-Hearty-Salmon.png/72px-Hyrule-Compendium-Hearty-Salmon.png,Hearty Salmon,"This fish makes its home in cold water, giving it extra layers of fat. It temporarily increases your maximum hearts when used in cooking.","Tabantha Frontier,Hebra Mountains",4 hearts,Extra Hearts
052,https://www.zeldadungeon.net/wiki/images/thumb/7/7d/Hyrule-Compendium-Chillfin-Trout.png/72px-Hyrule-Compendium-Chillfin-Trout.png,Chillfin Trout,"This blue trout prefers cold bodies of water. Its skin contains enzymes that keep its body cool, and when cooked into a dish, it will temporarily boost your heat resistance.","Tabantha Frontier,Hebra Mountains",1 heart,Heat Resistance
053,https://www.zeldadungeon.net/wiki/images/thumb/e/ef/Hyrule-Compendium-Sizzlefin-Trout.png/72px-Hyrule-Compendium-Sizzlefin-Trout.png,Sizzlefin Trout,"This red trout prefers warm bodies of water. It has a special organ specifically for storing heat. When cooked into a dish, it will temporarily increase your resistance to the cold.","Eldin Canyon,Eldin Mountains",1 heart,Cold Resistance
054,https://www.zeldadungeon.net/wiki/images/thumb/f/f7/Hyrule-Compendium-Voltfin-Trout.png/72px-Hyrule-Compendium-Voltfin-Trout.png,Voltfin Trout,"This trout makes its home in the freshwater lakes. Its scales have an insulating compound that, when cooked into a dish, offers resistance to electricity.","Tabantha Frontier,Hyrule Ridge",1 heart,Shock Resistance
055,https://www.zeldadungeon.net/wiki/images/thumb/d/d3/Hyrule-Compendium-Stealthfin-Trout.png/72px-Hyrule-Compendium-Stealthfin-Trout.png,Stealthfin Trout,Consuming the bioluminescent compound that makes this fish glow in the dark will increase concentration. Dishes cooked with it will suppress noise when consumed.,"Great Hyrule Forest,Eldin Mountains",1 heart,Stealth Up
056,https://www.zeldadungeon.net/wiki/images/thumb/a/a7/Hyrule-Compendium-Mighty-Carp.png/72px-Hyrule-Compendium-Mighty-Carp.png,Mighty Carp,This freshwater fish lives alongside its less mighty carp ilk. A compound in its liver promotes muscle growth. Dishes cooked with it will temporarily increase your attack power.,"Akkala Highlands,Lanayru Great Spring",1 heart,Attack Up
057,https://www.zeldadungeon.net/wiki/images/thumb/4/41/Hyrule-Compendium-Armored-Carp.png/72px-Hyrule-Compendium-Armored-Carp.png,Armored Carp,"Calcium deposits in the scales of this ancient fish make them as hard as armor. Cooking it into a dish will fortify your bones, temporarily increasing your defense.","Lanayru Great Spring,East Necluda",1 heart,Defense Up
058,https://www.zeldadungeon.net/wiki/images/thumb/9/92/Hyrule-Compendium-Sanke-Carp.png/72px-Hyrule-Compendium-Sanke-Carp.png,Sanke Carp,This wild armored carp has been bred into a prizewinning fish. Its beautifully colored markings do not occur in nature. It offers no special effects when cooked.,West Necluda,1 heart,None
